Date,anom,SOI,nino34_anom
1975-01-01,-0.50145364,-0.8,-0.45
1975-02-01,-0.71392477,1.3,-0.68
1975-03-01,-1.0618277,2.6,-1.09
1975-04-01,-0.8311057,1.9,-0.96
1975-05-01,-1.0175278,1.1,-1.13
1975-06-01,-1.3307896,2.1,-1.5
1975-07-01,-1.2496148,3.1,-1.39
1975-08-01,-1.4819983,3.3,-1.52
1975-09-01,-1.7031529,3.4,-1.66
1975-10-01,-1.8106838,2.8,-1.83
1975-11-01,-1.6044741,1.9,-1.66
1975-12-01,-1.9343958,3.5,-1.93
1976-01-01,-2.0557327,2.3,-2.01
1976-02-01,-1.2957182,2.8,-1.26
1976-03-01,-0.79112613,2.9,-0.82
1976-04-01,-0.8049146,0.5,-0.93
1976-05-01,-0.6177329,0.6,-0.74
1976-06-01,-0.21366568,0.4,-0.38
1976-07-01,-0.0230578,-1.4,-0.16
1976-08-01,0.16389789,-1.3,0.12
1976-09-01,0.26250175,-1.9,0.3
1976-10-01,0.76841646,0.7,0.75
1976-11-01,0.7630048,1.2,0.71
1976-12-01,0.4853998,-0.6,0.49
1977-01-01,0.7292028,-0.7,0.78
1977-02-01,0.34308022,2.0,0.37
1977-03-01,0.22214063,-0.9,0.19
1977-04-01,-0.24989338,-0.7,-0.38
1977-05-01,-0.094947845,-0.8,-0.21
1977-06-01,0.1779289,-1.5,0.01
1977-07-01,0.22876544,-1.9,0.09
1977-08-01,0.034033746,-1.3,-0.01
1977-09-01,0.36287344,-1.3,0.4
1977-10-01,0.64829314,-1.7,0.63
1977-11-01,0.5357326,-2.1,0.48
1977-12-01,0.6886755,-1.7,0.7
1978-01-01,0.5709782,-0.5,0.62
1978-02-01,0.2193068,-4.4,0.25
1978-03-01,-0.16235554,-0.3,-0.2
1978-04-01,-0.5718392,-0.5,-0.7
1978-05-01,-0.61751246,2.2,-0.74
1978-06-01,-0.54038674,1.1,-0.71
1978-07-01,-0.41001433,0.9,-0.55
1978-08-01,-0.74591017,0.7,-0.79
1978-09-01,-0.7458745,0.1,-0.71
1978-10-01,-0.44399753,-0.6,-0.46
1978-11-01,-0.32573238,-0.0,-0.38
1978-12-01,-0.066064544,-0.1,-0.06
1979-01-01,-0.18413058,-0.7,-0.13
1979-02-01,-0.2531184,1.6,-0.22
1979-03-01,0.015615943,0.2,-0.02
1979-04-01,0.14585659,-0.2,0.02
1979-05-01,-0.12930799,0.8,-0.25
1979-06-01,-0.12730807,1.1,-0.29
1979-07-01,-0.32988045,2.2,-0.47
1979-08-01,-0.06068344,-0.3,-0.1
1979-09-01,0.236523,0.2,0.28
1979-10-01,0.1349519,-0.2,0.11
1979-11-01,0.33845514,-0.7,0.29
1979-12-01,0.5092298,-1.2,0.52
1980-01-01,0.48894897,0.7,0.54
1980-02-01,0.18506786,0.5,0.22
1980-03-01,0.060215734,-0.7,0.03
1980-04-01,0.0638883,-1.0,-0.07
1980-05-01,0.19648108,-0.0,0.08
1980-06-01,0.37780756,-0.0,0.21
1980-07-01,0.0808972,-0.1,-0.06
1980-08-01,-0.33757713,0.6,-0.38
1980-09-01,-0.31674212,-0.8,-0.28
1980-10-01,-0.2351032,0.0,-0.26
1980-11-01,-0.049491115,-0.6,-0.1
1980-12-01,0.0396299,-0.1,0.05
1981-01-01,-0.41025287,0.6,-0.36
1981-02-01,-0.6705741,-0.3,-0.64
1981-03-01,-0.6071691,-2.1,-0.64
1981-04-01,-0.3983848,-0.2,-0.53
1981-05-01,-0.45590496,1.3,-0.57
1981-06-01,-0.2940758,2.0,-0.46
1981-07-01,-0.50031054,1.4,-0.64
1981-08-01,-0.48646316,1.2,-0.53
1981-09-01,-0.23070595,0.5,-0.19
1981-10-01,-0.27764928,-0.6,-0.3
1981-11-01,-0.35916895,0.3,-0.41
1981-12-01,-0.2080796,0.8,-0.2
1982-01-01,0.07773751,2.0,0.13
1982-02-01,-0.19810022,0.4,-0.17
1982-03-01,0.16352397,1.0,0.13
1982-04-01,0.33935562,0.1,0.21
1982-05-01,0.56964606,-0.6,0.45
1982-06-01,0.6965737,-1.7,0.53
1982-07-01,0.5116054,-2.5,0.37
1982-08-01,0.7664789,-2.9,0.73
1982-09-01,1.4532747,-2.9,1.49
1982-10-01,2.0093026,-2.8,1.99
1982-11-01,1.9698524,-4.3,1.92
1982-12-01,2.192554,-3.7,2.2
1983-01-01,2.2955537,-5.8,2.35
1983-02-01,1.9052807,-6.0,1.94
1983-03-01,1.4118887,-4.0,1.38
1983-04-01,1.0790447,-1.5,0.95
1983-05-01,1.0196941,1.0,0.9
1983-06-01,0.7081028,0.1,0.54
1983-07-01,0.030694887,-1.0,-0.11
1983-08-01,-0.22820649,0.2,-0.27
1983-09-01,-0.5624497,1.4,-0.52
1983-10-01,-1.1366225,0.7,-1.16
1983-11-01,-1.2402296,-0.2,-1.29
1983-12-01,-1.0358765,0.0,-1.03
1984-01-01,-0.71848786,0.3,-0.67
1984-02-01,-0.21899168,1.4,-0.19
1984-03-01,-0.4823246,-0.4,-0.52
1984-04-01,-0.5516524,0.6,-0.68
1984-05-01,-0.614453,0.3,-0.73
1984-06-01,-0.73139775,-0.6,-0.9
1984-07-01,-0.36068267,0.3,-0.5
1984-08-01,-0.20193906,0.7,-0.24
1984-09-01,-0.3760438,0.2,-0.34
1984-10-01,-0.653378,-0.5,-0.67
1984-11-01,-1.1344609,0.4,-1.19
1984-12-01,-1.3499378,-0.2,-1.34
1985-01-01,-1.2070489,-0.5,-1.16
1985-02-01,-0.74812186,2.0,-0.72
1985-03-01,-0.74525774,1.3,-0.79
1985-04-01,-1.0380423,1.9,-1.18
1985-05-01,-0.90511703,0.7,-1.03
1985-06-01,-0.74020445,-0.6,-0.91
1985-07-01,-0.58744264,-0.2,-0.74
1985-08-01,-0.50704485,1.6,-0.56
1985-09-01,-0.73147404,0.0,-0.7
1985-10-01,-0.45765394,-0.6,-0.49
1985-11-01,-0.31117755,-0.3,-0.37
1985-12-01,-0.4013361,0.4,-0.41
1986-01-01,-0.69915473,1.6,-0.66
1986-02-01,-0.7258789,-1.7,-0.71
1986-03-01,-0.37092313,0.8,-0.42
1986-04-01,-0.1901392,0.5,-0.33
1986-05-01,-0.39991516,-0.4,-0.53
1986-06-01,-0.12659642,1.6,-0.31
1986-07-01,0.040333923,0.5,-0.11
1986-08-01,0.3726284,-0.6,0.32
1986-09-01,0.5001764,-0.8,0.53
1986-10-01,0.84331,1.1,0.81
1986-11-01,1.0762482,-2.0,1.01
1986-12-01,1.1303462,-2.4,1.12
1987-01-01,1.0994711,-1.1,1.14
1987-02-01,1.1130785,-2.1,1.13
1987-03-01,1.0308836,-2.1,0.98
1987-04-01,0.72032106,-2.3,0.58
1987-05-01,0.7538737,-2.1,0.62
1987-06-01,1.0977137,-1.8,0.92
1987-07-01,1.44724,-2.2,1.29
1987-08-01,1.6178061,-1.5,1.57
1987-09-01,1.6160691,-1.7,1.65
1987-10-01,1.2700576,-0.6,1.24
1987-11-01,1.1329302,-0.0,1.07
1987-12-01,0.9439745,-0.8,0.94
1988-01-01,0.865275,-0.2,0.9
1988-02-01,0.25930887,-0.6,0.28
1988-03-01,0.14472255,1.1,0.1
1988-04-01,-0.2994178,0.2,-0.44
1988-05-01,-1.1259727,1.5,-1.25
1988-06-01,-1.5674137,0.1,-1.74
1988-07-01,-1.5868508,1.7,-1.74
1988-08-01,-1.1441354,2.5,-1.19
1988-09-01,-1.0411718,3.0,-1.0
1988-10-01,-1.8881928,2.3,-1.9
1988-11-01,-2.005465,2.8,-2.05
1988-12-01,-1.9660151,2.0,-1.96
1989-01-01,-2.0114143,2.5,-1.97
