Date,SST,SOI,nino34_anom
1975-01-01,25.909142,-0.8,-0.45
1975-02-01,26.124323,1.3,-0.68
1975-03-01,26.501217,2.6,-1.09
1975-04-01,26.896011,1.9,-0.96
1975-05-01,26.821934,1.1,-1.13
1975-06-01,26.307238,2.1,-1.5
1975-07-01,25.829308,3.1,-1.39
1975-08-01,25.422146,3.3,-1.52
1975-09-01,25.087582,3.4,-1.66
1975-10-01,25.082113,2.8,-1.83
1975-11-01,24.884457,1.9,-1.66
1975-12-01,24.749443,3.5,-1.93
1976-01-01,24.56916,2.3,-2.01
1976-02-01,25.503181,2.8,-1.26
1976-03-01,26.226439,2.9,-0.82
1976-04-01,26.911726,0.5,-0.93
1976-05-01,27.310186,0.6,-0.74
1976-06-01,27.404158,0.4,-0.38
1976-07-01,27.116795,-1.4,-0.16
1976-08-01,26.835697,-1.3,0.12
1976-09-01,27.35984,-1.9,0.3
1976-10-01,27.197203,0.7,0.75
1976-11-01,27.236086,1.2,0.71
1976-12-01,27.017767,-0.6,0.49
1977-01-01,27.291643,-0.7,0.78
1977-02-01,27.124851,2.0,0.37
1977-03-01,27.211542,-0.9,0.19
1977-04-01,27.504877,-0.7,-0.38
1977-05-01,27.8959,-0.8,-0.21
1977-06-01,27.746294,-1.5,0.01
1977-07-01,27.329327,-1.9,0.09
1977-08-01,26.887108,-1.3,-0.01
1977-09-01,27.055721,-1.3,0.4
1977-10-01,27.338215,-1.7,0.63
1977-11-01,27.47304,-2.1,0.48
1977-12-01,27.462042,-1.7,0.7
1978-01-01,27.069555,-0.5,0.62
1978-02-01,27.172703,-4.4,0.25
1978-03-01,27.284916,-0.3,-0.2
1978-04-01,27.316538,-0.5,-0.7
1978-05-01,27.224255,2.2,-0.74
1978-06-01,26.759197,1.1,-0.71
1978-07-01,26.3331,0.9,-0.55
1978-08-01,26.22979,0.7,-0.79
1978-09-01,26.146755,0.1,-0.71
1978-10-01,26.247189,-0.6,-0.46
1978-11-01,26.44035,-0.0,-0.38
